,Ahmed_2_crossexamination.wav,Ahmed_2_freeze.wav,Ahmed_2_no_freeze.wav,Ahmed_2_on_Ahmed_test.wav,Ahmed_crossexamination.wav,Ahmed_freeze.wav,Ahmed_no_freeze.wav,Ahmed_on_Ahmed_2_See shells.wav,Ash baseline F5-TTS.wav,Ash see shells.mp3,Ash_baseline.wav,Julius see shells.mp3,LJSPEECH BENCMARK.wav
Ahmed_2_crossexamination.wav,1.0000,0.5994,0.6253,0.9527,0.8315,0.5994,0.6007,0.8276,0.6825,0.8756,0.8313,0.5059,0.4034
Ahmed_2_freeze.wav,0.5994,1.0000,0.9527,0.6254,0.7142,1.0000,0.9681,0.6747,0.7469,0.6867,0.6570,0.4287,0.5082
Ahmed_2_no_freeze.wav,0.6253,0.9527,1.0000,0.6445,0.7211,0.9527,0.9600,0.6982,0.7457,0.6948,0.6347,0.4268,0.4744
Ahmed_2_on_Ahmed_test.wav,0.9527,0.6254,0.6445,1.0000,0.8758,0.6254,0.6240,0.8693,0.6928,0.8661,0.8341,0.4932,0.4174
Ahmed_crossexamination.wav,0.8315,0.7142,0.7211,0.8758,1.0000,0.7142,0.7262,0.9650,0.7046,0.8608,0.8050,0.5249,0.4651
Ahmed_freeze.wav,0.5994,1.0000,0.9527,0.6254,0.7142,1.0000,0.9681,0.6747,0.7469,0.6867,0.6570,0.4287,0.5082
Ahmed_no_freeze.wav,0.6007,0.9681,0.9600,0.6240,0.7262,0.9681,1.0000,0.6882,0.7764,0.6988,0.6282,0.4613,0.5455
Ahmed_on_Ahmed_2_See shells.wav,0.8276,0.6747,0.6982,0.8693,0.9650,0.6747,0.6882,1.0000,0.6931,0.8448,0.7769,0.5206,0.4451
Ash baseline F5-TTS.wav,0.6825,0.7469,0.7457,0.6928,0.7046,0.7469,0.7764,0.6931,1.0000,0.7651,0.7195,0.5353,0.5518
Ash see shells.mp3,0.8756,0.6867,0.6948,0.8661,0.8608,0.6867,0.6988,0.8448,0.7651,1.0000,0.8309,0.5679,0.5316
Ash_baseline.wav,0.8313,0.6570,0.6347,0.8341,0.8050,0.6570,0.6282,0.7769,0.7195,0.8309,1.0000,0.5458,0.4760
Julius see shells.mp3,0.5059,0.4287,0.4268,0.4932,0.5249,0.4287,0.4613,0.5206,0.5353,0.5679,0.5458,1.0000,0.5085
LJSPEECH BENCMARK.wav,0.4034,0.5082,0.4744,0.4174,0.4651,0.5082,0.5455,0.4451,0.5518,0.5316,0.4760,0.5085,1.0000
